name,group,feed,wl,N,cond_xor_um2,via_regen_um2,via_fab_um2,via_delta_um2,verdict
cap_mom_double_02p0um,full,double,2.0,4,0.0,2.0577,1.1913,0.8664,PASS
cap_mom_double_04p9um,full,double,4.9,4,0.0,11.4798,6.0648,5.415,PASS
cap_mom_double_07p8um,full,double,7.8,4,0.0,32.1651,16.5699,15.5952,PASS
cap_mom_double_10p7um,full,double,10.7,4,0.0,63.7887,32.5983,31.1904,PASS
cap_mom_double_13p6um,full,double,13.6,4,0.0,105.7008,53.7168,51.984,PASS
cap_mom_double_16p4um,full,double,16.4,4,0.0,150.2121,76.1349,74.0772,PASS
cap_mom_double_19p3um,full,double,19.3,4,0.0,202.521,102.4518,100.0692,PASS
cap_mom_double_22p2um,full,double,22.2,4,0.0,273.0243,137.8659,135.1584,PASS
cap_mom_double_25p1um,full,double,25.1,4,0.0,354.8991,179.0199,175.8792,PASS
cap_mom_double_28p0um,full,double,28.0,4,0.0,446.6292,225.0474,221.5818,PASS
cap_mom_double_30p9um,full,double,30.9,4,0.0,534.0273,268.9089,265.1184,PASS
cap_mom_double_33p8um,full,double,33.8,4,0.0,645.2514,324.6834,320.568,PASS
cap_mom_double_36p7um,full,double,36.7,4,0.0,768.2802,386.4144,381.8658,PASS
cap_mom_double_39p6um,full,double,39.6,4,0.0,900.7311,452.8023,447.9288,PASS
cap_mom_double_42p4um,full,double,42.4,4,0.0,1023.2184,514.2084,509.01,PASS
cap_mom_double_45p3um,full,double,45.3,4,0.0,1153.5033,579.5133,573.99,PASS
cap_mom_double_48p2um,full,double,48.2,4,0.0,1339.3461,672.6513,666.6948,PASS
cap_mom_double_51p1um,full,double,51.1,4,0.0,1487.8254,747.0534,740.772,PASS
cap_mom_double_54p0um,full,double,54.0,4,0.0,1670.0943,838.3503,831.744,PASS
cap_mom_double_56p9um,full,double,56.9,4,0.0,1835.4684,921.1998,914.2686,PASS
cap_mom_double_59p8um,full,double,59.8,4,0.0,2068.0968,1037.7306,1030.3662,PASS
cap_mom_double_62p7um,full,double,62.7,4,0.0,2251.6653,1129.6773,1121.988,PASS
cap_mom_double_65p6um,full,double,65.6,4,0.0,2474.655,1241.3346,1233.3204,PASS
cap_mom_double_68p4um,full,double,68.4,4,0.0,2675.1183,1341.7287,1333.3896,PASS
cap_mom_double_71p3um,full,double,71.3,4,0.0,2919.8763,1464.3243,1455.552,PASS
cap_mom_double_74p2um,full,double,74.2,4,0.0,3173.19,1591.1436,1582.0464,PASS
cap_mom_double_77p1um,full,double,77.1,4,0.0,3399.6453,1704.5337,1695.1116,PASS
cap_mom_double_80p0um,full,double,80.0,4,0.0,3672.453,1841.1,1831.353,PASS
cap_mom_same_02p0um,full,same,2.0,4,0.0,1.7328,0.8664,0.8664,PASS
cap_mom_same_04p9um,full,same,4.9,4,0.0,10.83,5.415,5.415,PASS
cap_mom_same_07p8um,full,same,7.8,4,0.0,31.1904,15.5952,15.5952,PASS
cap_mom_same_10p7um,full,same,10.7,4,0.0,62.3808,31.1904,31.1904,PASS
cap_mom_same_13p6um,full,same,13.6,4,0.0,103.968,51.984,51.984,PASS
cap_mom_same_16p4um,full,same,16.4,4,0.0,148.1544,74.0772,74.0772,PASS
cap_mom_same_19p3um,full,same,19.3,4,0.0,200.1384,100.0692,100.0692,PASS
cap_mom_same_22p2um,full,same,22.2,4,0.0,270.3168,135.1584,135.1584,PASS
cap_mom_same_25p1um,full,same,25.1,4,0.0,351.7584,175.8792,175.8792,PASS
cap_mom_same_28p0um,full,same,28.0,4,0.0,443.1636,221.5818,221.5818,PASS
cap_mom_same_30p9um,full,same,30.9,4,0.0,530.2368,265.1184,265.1184,PASS
cap_mom_same_33p8um,full,same,33.8,4,0.0,641.136,320.568,320.568,PASS
cap_mom_same_36p7um,full,same,36.7,4,0.0,763.7316,381.8658,381.8658,PASS
cap_mom_same_39p6um,full,same,39.6,4,0.0,895.8576,447.9288,447.9288,PASS
cap_mom_same_42p4um,full,same,42.4,4,0.0,1018.02,509.01,509.01,PASS
cap_mom_same_45p3um,full,same,45.3,4,0.0,1147.98,573.99,573.99,PASS
cap_mom_same_48p2um,full,same,48.2,4,0.0,1333.3896,666.6948,666.6948,PASS
cap_mom_same_51p1um,full,same,51.1,4,0.0,1481.544,740.772,740.772,PASS
cap_mom_same_54p0um,full,same,54.0,4,0.0,1663.488,831.744,831.744,PASS
cap_mom_same_56p9um,full,same,56.9,4,0.0,1828.5372,914.2686,914.2686,PASS
cap_mom_same_59p8um,full,same,59.8,4,0.0,2060.7324,1030.3662,1030.3662,PASS
cap_mom_same_62p7um,full,same,62.7,4,0.0,2243.976,1121.988,1121.988,PASS
cap_mom_same_65p6um,full,same,65.6,4,0.0,2466.6408,1233.3204,1233.3204,PASS
cap_mom_same_68p4um,full,same,68.4,4,0.0,2666.7792,1333.3896,1333.3896,PASS
cap_mom_same_71p3um,full,same,71.3,4,0.0,2911.104,1455.552,1455.552,PASS
cap_mom_same_74p2um,full,same,74.2,4,0.0,3164.0928,1582.0464,1582.0464,PASS
cap_mom_same_77p1um,full,same,77.1,4,0.0,3390.2232,1695.1116,1695.1116,PASS
cap_mom_same_80p0um,full,same,80.0,4,0.0,3662.706,1831.353,1831.353,PASS
cap_mom_double_m1m3_65p6um,m1m3,double,65.6,3,0.0,1649.77,827.5564,822.2136,PASS
cap_mom_double_m1m3_68p4um,m1m3,double,68.4,3,0.0,1783.4122,894.4858,888.9264,PASS
cap_mom_double_m1m3_71p3um,m1m3,double,71.3,3,0.0,1946.5842,976.2162,970.368,PASS
cap_mom_double_m1m3_74p2um,m1m3,double,74.2,3,0.0,2115.46,1060.7624,1054.6976,PASS
cap_mom_double_m1m3_77p1um,m1m3,double,77.1,3,0.0,2266.4302,1136.3558,1130.0744,PASS
cap_mom_double_m1m3_80p0um,m1m3,double,80.0,3,0.0,2448.302,1227.4,1220.902,PASS
cap_mom_same_m1m3_65p6um,m1m3,same,65.6,3,0.0,1644.4272,822.2136,822.2136,PASS
cap_mom_same_m1m3_68p4um,m1m3,same,68.4,3,0.0,1777.8528,888.9264,888.9264,PASS
cap_mom_same_m1m3_71p3um,m1m3,same,71.3,3,0.0,1940.736,970.368,970.368,PASS
cap_mom_same_m1m3_74p2um,m1m3,same,74.2,3,0.0,2109.3952,1054.6976,1054.6976,PASS
cap_mom_same_m1m3_77p1um,m1m3,same,77.1,3,0.0,2260.1488,1130.0744,1130.0744,PASS
cap_mom_same_m1m3_80p0um,m1m3,same,80.0,3,0.0,2441.804,1220.902,1220.902,PASS
cap_mom_double_m3m4_71p3um,m3m4,double,71.3,2,0.0,973.2921,488.1081,485.184,PASS
cap_mom_double_m3m4_74p2um,m3m4,double,74.2,2,0.0,1057.73,530.3812,527.3488,PASS
cap_mom_double_m3m4_77p1um,m3m4,double,77.1,2,0.0,1133.2151,568.1779,565.0372,PASS
cap_mom_double_m3m4_80p0um,m3m4,double,80.0,2,0.0,1224.151,613.7,610.451,PASS
cap_mom_same_m3m4_71p3um,m3m4,same,71.3,2,0.0,970.368,485.184,485.184,PASS
cap_mom_same_m3m4_74p2um,m3m4,same,74.2,2,0.0,1054.6976,527.3488,527.3488,PASS
cap_mom_same_m3m4_77p1um,m3m4,same,77.1,2,0.0,1130.0744,565.0372,565.0372,PASS
cap_mom_same_m3m4_80p0um,m3m4,same,80.0,2,0.0,1220.902,610.451,610.451,PASS
cap_mom_double_m2m4_65p6um,m2m4,double,65.6,3,0.0,1649.77,827.5564,822.2136,PASS
cap_mom_double_m2m4_68p4um,m2m4,double,68.4,3,0.0,1783.4122,894.4858,888.9264,PASS
cap_mom_double_m2m4_71p3um,m2m4,double,71.3,3,0.0,1946.5842,976.2162,970.368,PASS
cap_mom_double_m2m4_74p2um,m2m4,double,74.2,3,0.0,2115.46,1060.7624,1054.6976,PASS
cap_mom_double_m2m4_77p1um,m2m4,double,77.1,3,0.0,2266.4302,1136.3558,1130.0744,PASS
cap_mom_double_m2m4_80p0um,m2m4,double,80.0,3,0.0,2448.302,1227.4,1220.902,PASS
cap_mom_same_m2m4_65p6um,m2m4,same,65.6,3,0.0,1644.4272,822.2136,822.2136,PASS
cap_mom_same_m2m4_68p4um,m2m4,same,68.4,3,0.0,1777.8528,888.9264,888.9264,PASS
cap_mom_same_m2m4_71p3um,m2m4,same,71.3,3,0.0,1940.736,970.368,970.368,PASS
cap_mom_same_m2m4_74p2um,m2m4,same,74.2,3,0.0,2109.3952,1054.6976,1054.6976,PASS
cap_mom_same_m2m4_77p1um,m2m4,same,77.1,3,0.0,2260.1488,1130.0744,1130.0744,PASS
cap_mom_same_m2m4_80p0um,m2m4,same,80.0,3,0.0,2441.804,1220.902,1220.902,PASS
