cell,N_metal,l_um,w_um,rows,stackup,C_fF
fd_l5p5_w2_dbl,4,5.5,2,2,sub,9.6902
fd_l5p5_w5_dbl,4,5.5,5,5,sub,23.7024
fd_l5p5_w5_dbl,4,5.5,5,5,nosub,23.5930
fd_l5p5_w7_dbl,4,5.5,7,7,sub,32.9917
n2_l5p5_w7,2,5.5,7,7,sub,17.3121
n2_l10_w7,2,10.0,7,7,sub,30.9253
pcell_l5p5_w7_n3,3,5.5,7,7,sub,25.5532
g2n5_l5p5_w7,5,5.5,7,7,sub,41.2186
g2n5_l10_w7,5,10.0,7,7,sub,74.1725
n2_l5p5_w7,2,5.5,7,7,nosub,17.2840
fd_l5p5_w15_dbl,4,5.5,15,16,sub,74.8446
pcell_l10_w7_n3,3,10.0,7,7,nosub,45.7607
g2n5_l10_w7,5,10.0,7,7,nosub,73.9243
pcell_l10_w7_n3,3,10.0,7,7,sub,46.4537
