name,feed,N,w,l,ax,ay,area,C12_es,Cdiff_fw,model_fix,model_pre,err_fix_pct,err_pre_pct
cap_mom_double_02p0um,double,4,2.0,2.0,2,2,2.99,3.537,4.1300,3.594,1.964,1.62,-44.46
cap_mom_double_04p9um,double,4,4.9,4.9,5,5,18.69,20.791,23.8200,21.112,17.038,1.55,-18.05
cap_mom_double_07p8um,double,4,7.8,7.8,9,8,53.827,59.366,,59.818,52.484,0.76,-11.59
cap_mom_double_10p7um,double,4,10.7,10.7,12,12,107.654,118.33,134.5200,119.03,109.252,0.59,-7.67
cap_mom_double_13p6um,double,4,13.6,13.6,16,15,179.424,196.666,,197.665,184.627,0.51,-6.12
cap_mom_same_02p0um,same,4,2.0,2.0,2,2,2.99,3.577,,3.709,2.079,3.68,-41.88
cap_mom_same_04p9um,same,4,4.9,4.9,5,5,18.69,20.958,,21.255,17.181,1.42,-18.02
cap_mom_same_07p8um,same,4,7.8,7.8,9,8,53.827,59.493,,59.988,52.655,0.83,-11.49
cap_mom_same_10p7um,same,4,10.7,10.7,12,12,107.654,118.506,,119.239,109.46,0.62,-7.63
cap_mom_same_13p6um,same,4,13.6,13.6,16,15,179.424,196.971,,197.901,184.863,0.47,-6.15
n2_m3m4_w7_l10,double,2,7.0,10.0,11,7,57.565,30.985,,32.672,28.149,5.44,-9.15
n2_m3m4_w7_l5p5,double,2,7.0,5.5,6,7,31.399,17.144,,18.28,15.813,6.63,-7.76
n3_m1m3_w7_l10,double,3,7.0,10.0,11,7,57.565,46.388,,48.214,41.471,3.94,-10.6
n3_m1m3_w7_l5p5,double,3,7.0,5.5,6,7,31.399,25.567,,26.758,23.08,4.66,-9.73
n3_m2m4_w7_l10,double,3,7.0,10.0,11,7,57.565,47.813,,48.214,41.471,0.84,-13.27
n3_m2m4_w7_l5p5,double,3,7.0,5.5,6,7,31.399,26.352,,26.758,23.08,1.54,-12.42
