name,feed,N,mmin,mmax,w_um,l_um,C12_fF,tets,solve_s,lc
cap_mom_double_02p0um,double,4,1,4,2.0,2.0,3.5366,129903,15,0.1
cap_mom_same_02p0um,same,4,1,4,2.0,2.0,3.5769,108442,12,0.1
cap_mom_double_04p9um,double,4,1,4,4.9,4.9,20.7907,459585,67,0.1
cap_mom_same_04p9um,same,4,1,4,4.9,4.9,20.9577,417646,59,0.1
cap_mom_double_07p8um,double,4,1,4,7.8,7.8,59.3656,1097111,218,0.1
cap_mom_same_07p8um,same,4,1,4,7.8,7.8,59.4930,1035418,187,0.1
cap_mom_double_10p7um,double,4,1,4,10.7,10.7,118.3299,2033623,525,0.1
cap_mom_same_10p7um,same,4,1,4,10.7,10.7,118.5060,1944832,474,0.1
cap_mom_double_13p6um,double,4,1,4,13.6,13.6,196.6660,3237377,1222,0.1
cap_mom_same_13p6um,same,4,1,4,13.6,13.6,196.9706,3129265,1181,0.1
n3_m1m3_w7_l5p5,double,3,1,3,7,5.5,25.5669,532151,79,0.1
n3_m1m3_w7_l10,double,3,1,3,7,10.0,46.3877,868433,141,0.1
n3_m2m4_w7_l5p5,double,3,2,4,7,5.5,26.3516,537409,77,0.1
n3_m2m4_w7_l10,double,3,2,4,7,10.0,47.8135,876362,142,0.1
n2_m3m4_w7_l5p5,double,2,3,4,7,5.5,17.1443,365079,47,0.1
n2_m3m4_w7_l10,double,2,3,4,7,10.0,30.9847,591115,82,0.1
