l_um,w_um,N,rows_old,rows_new,released_fF,corrected_fF,delta_fF,delta_pct
2,2,4,1,2,1.630,3.594,1.964,120.5
2,3,4,2,3,3.260,5.359,2.099,64.4
2,5,4,4,5,6.519,8.889,2.370,36.4
2,7,4,6,7,9.779,12.419,2.641,27.0
2,10,4,10,11,16.298,19.479,3.182,19.5
2,15,4,15,16,24.447,28.305,3.858,15.8
2,20,4,21,22,34.225,38.895,4.670,13.6
2,30,4,32,33,52.153,58.310,6.158,11.8
2,50,4,55,56,89.637,98.907,9.269,10.3
5,2,4,1,2,4.074,8.483,4.409,108.2
5,3,4,2,3,8.149,12.693,4.544,55.8
5,5,4,4,5,16.298,21.112,4.815,29.5
5,7,4,6,7,24.447,29.532,5.085,20.8
5,10,4,10,11,40.744,46.371,5.626,13.8
5,15,4,15,16,61.116,67.419,6.303,10.3
5,20,4,21,22,85.563,92.677,7.114,8.3
5,30,4,32,33,130.381,138.984,8.602,6.6
5,50,4,55,56,224.093,235.807,11.714,5.2
10,2,4,1,2,8.964,18.262,9.298,103.7
10,3,4,2,3,17.927,27.361,9.433,52.6
10,5,4,4,5,35.855,45.559,9.704,27.1
10,7,4,6,7,53.782,63.757,9.975,18.5
10,10,4,10,11,89.637,100.153,10.516,11.7
10,15,4,15,16,134.456,145.648,11.192,8.3
10,20,4,21,22,188.238,200.242,12.004,6.4
10,30,4,32,33,286.839,300.331,13.492,4.7
10,50,4,55,56,493.005,509.608,16.603,3.4
20,2,4,1,2,18.742,37.819,19.077,101.8
20,3,4,2,3,37.485,56.697,19.212,51.3
20,5,4,4,5,74.969,94.452,19.483,26.0
20,7,4,6,7,112.454,132.207,19.753,17.6
20,10,4,10,11,187.423,207.718,20.294,10.8
20,15,4,15,16,281.135,302.106,20.971,7.5
20,20,4,21,22,393.589,415.371,21.782,5.5
20,30,4,32,33,599.755,623.025,23.270,3.9
20,50,4,55,56,1030.828,1057.210,26.382,2.6
50,2,4,1,2,48.078,96.491,48.413,100.7
50,3,4,2,3,96.156,144.704,48.548,50.5
50,5,4,4,5,192.313,241.131,48.818,25.4
50,7,4,6,7,288.469,337.558,49.089,17.0
50,10,4,10,11,480.782,530.412,49.630,10.3
50,15,4,15,16,721.172,771.479,50.306,7.0
50,20,4,21,22,1009.641,1060.759,51.118,5.1
50,30,4,32,33,1538.501,1591.107,52.606,3.4
50,50,4,55,56,2644.299,2700.016,55.718,2.1
